genome,domain,phylum,class,order,family,genus,species,source,assembly,accession,description,substrate,country,origin,assign,database,completeness,contamination
GCF_003716875.1_ASM371687v1_genomic,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio zhugei,NCBI,RefSeq,GCF_003716875.1,pickling sauce,NA,China,China,prokaryote,MiFoDB_beta_v3_prok,93.84,0.9
GCF_003813165.1_ASM381316v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,NCBI,RefSeq,GCF_003813165.1,Faeces,NA,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.06,0
GCF_003862435.1_ASM386243v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,Weissella viridescens_A,NCBI,RefSeq,GCF_003862435.1,"Bacterial culture, chile",NA,Chile,Chile,prokaryote,MiFoDB_beta_v3_prok,99.39,0
GCF_003864415.1_ASM386441v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Ligilactobacillus salitolerans,NCBI,RefSeq,GCF_003864415.1,Not reported,NA,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.44,1.05
GCF_003946015.1_ASM394601v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus insicii,NCBI,RefSeq,GCF_003946015.1,Pork salami,meat,NA,NA,prokaryote,MiFoDB_beta_v3_prok,98.95,0
GCF_003946025.1_ASM394602v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus songhuajiangensis,NCBI,RefSeq,GCF_003946025.1,Chinese traditional pickle and sourdough,vegetable,China,China,prokaryote,MiFoDB_beta_v3_prok,99.48,1.83
GCF_003946045.1_ASM394604v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus mulengensis,NCBI,RefSeq,GCF_003946045.1,Chinese traditional pickle,vegetable,China,China,prokaryote,MiFoDB_beta_v3_prok,99.38,0
GCF_003946085.1_ASM394608v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus angrenensis,NCBI,RefSeq,GCF_003946085.1,fermented dairy beverage,dairy,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.38,0
GCF_003946095.1_ASM394609v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus lindianensis,NCBI,RefSeq,GCF_003946095.1,Chinese traditional pickle,vegetable,China,China,prokaryote,MiFoDB_beta_v3_prok,99.38,0.21
GCF_003946115.1_ASM394611v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus daqingensis,NCBI,RefSeq,GCF_003946115.1,Pickle,vegetable,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.02,1.31
GCF_003946145.1_ASM394614v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus huananensis,NCBI,RefSeq,GCF_003946145.1,Chinese traditional pickle,vegetable,China,China,prokaryote,MiFoDB_beta_v3_prok,99.38,0.21
GCF_003946165.1_ASM394616v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus baoqingensis,NCBI,RefSeq,GCF_003946165.1,Chinese traditional pickle,vegetable,China,China,prokaryote,MiFoDB_beta_v3_prok,99.48,1.31
GCF_003946175.1_ASM394617v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus suibinensis,NCBI,RefSeq,GCF_003946175.1,Pickle,vegetable,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.48,0.52
GCF_003946205.1_ASM394620v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus keshanensis,NCBI,RefSeq,GCF_003946205.1,Pickle,vegetable,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.48,1.64
GCF_003946215.1_ASM394621v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lapidilactobacillus,Lapidilactobacillus mulanensis,NCBI,RefSeq,GCF_003946215.1,Pickle,vegetable,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.48,1.05
GCF_003946245.1_ASM394624v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus cerevisiae,NCBI,RefSeq,GCF_003946245.1,Spoiled beer,grains,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.38,0
GCF_003946265.1_ASM394626v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus yonginensis,NCBI,RefSeq,GCF_003946265.1,Kimchi,vegetable,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.38,0.62
GCF_003946275.1_ASM394627v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Loigolactobacillus,Loigolactobacillus backii,NCBI,RefSeq,GCF_003946275.1,Spoiled lager beer,grains,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.46,1.09
GCF_003946305.1_ASM394630v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus porcinae,NCBI,RefSeq,GCF_003946305.1,Traditional Vietnamese nem chua,meat,Vietnam,Vietnam,prokaryote,MiFoDB_beta_v3_prok,99.48,1.31
GCF_003946325.1_ASM394632v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus furfuricola,NCBI,RefSeq,GCF_003946325.1,Rice bran paste,grains,NA,NA,prokaryote,MiFoDB_beta_v3_prok,98.95,1.05
GCF_003946335.1_ASM394633v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus fujinensis,NCBI,RefSeq,GCF_003946335.1,Chinese traditional pickle,vegetable,China,China,prokaryote,MiFoDB_beta_v3_prok,99.06,0.71
GCF_003946345.1_ASM394634v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus tongjiangensis,NCBI,RefSeq,GCF_003946345.1,Chinese traditional pickle,vegetable,China,China,prokaryote,MiFoDB_beta_v3_prok,99.38,0.62
GCF_003946385.1_ASM394638v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Loigolactobacillus,Loigolactobacillus zhaoyuanensis,NCBI,RefSeq,GCF_003946385.1,Chinese traditional pickle,vegetable,China,China,prokaryote,MiFoDB_beta_v3_prok,99.46,0.82
GCF_003946395.1_ASM394639v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus fuyuanensis,NCBI,RefSeq,GCF_003946395.1,Chinese traditional pickle,vegetable,China,China,prokaryote,MiFoDB_beta_v3_prok,99.06,0
GCF_003946405.1_ASM394640v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus yichunensis,NCBI,RefSeq,GCF_003946405.1,Pickle,vegetable,NA,NA,prokaryote,MiFoDB_beta_v3_prok,98.69,0.52
GCF_003946445.1_ASM394644v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Loigolactobacillus,Loigolactobacillus jiayinensis,NCBI,RefSeq,GCF_003946445.1,Chinese traditional pickle,vegetable,China,China,prokaryote,MiFoDB_beta_v3_prok,99.18,1.49
GCF_003946465.1_ASM394646v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus hegangensis,NCBI,RefSeq,GCF_003946465.1,Pickle,vegetable,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.21,0.52
GCF_003946485.1_ASM394648v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus jixianensis,NCBI,RefSeq,GCF_003946485.1,Chinese traditional pickle,vegetable,China,China,prokaryote,MiFoDB_beta_v3_prok,99.48,0.52
GCF_003946505.1_ASM394650v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus mishanensis,NCBI,RefSeq,GCF_003946505.1,Pickle,vegetable,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.48,0.59
GCF_003946515.1_ASM394651v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus zhongbaensis,NCBI,RefSeq,GCF_003946515.1,Pickle,vegetable,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.48,1.31
GCF_003946545.1_ASM394654v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus tangyuanensis,NCBI,RefSeq,GCF_003946545.1,Chinese traditional pickle,vegetable,China,China,prokaryote,MiFoDB_beta_v3_prok,99.38,0
GCF_003946555.1_ASM394655v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus hulinensis,NCBI,RefSeq,GCF_003946555.1,Pickle,vegetable,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.48,0
GCF_003946575.1_ASM394657v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus jidongensis,NCBI,RefSeq,GCF_003946575.1,Pickle,vegetable,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.48,0
GCF_003946605.1_ASM394660v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus baiquanensis,NCBI,RefSeq,GCF_003946605.1,Pickle,vegetable,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.48,1.05
GCF_003946625.1_ASM394662v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus kedongensis,NCBI,RefSeq,GCF_003946625.1,Pickle,vegetable,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.48,1.64
GCF_003946645.1_ASM394664v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lapidilactobacillus,Lapidilactobacillus wuchangensis,NCBI,RefSeq,GCF_003946645.1,Pickle,vegetable,NA,NA,prokaryote,MiFoDB_beta_v3_prok,98.25,0.63
GCF_003946655.1_ASM394665v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lapidilactobacillus,Lapidilactobacillus achengensis,NCBI,RefSeq,GCF_003946655.1,Pickle,vegetable,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.3,0
GCF_003946675.1_ASM394667v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lapidilactobacillus,Lapidilactobacillus gannanensis,NCBI,RefSeq,GCF_003946675.1,Pickle,vegetable,NA,NA,prokaryote,MiFoDB_beta_v3_prok,97.99,0.52
GCF_003946695.1_ASM394669v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lapidilactobacillus,Lapidilactobacillus bayanensis,NCBI,RefSeq,GCF_003946695.1,Pickle,vegetable,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.35,1.57
GCF_003946725.1_ASM394672v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Agrilactobacillus,Agrilactobacillus yilanensis,NCBI,RefSeq,GCF_003946725.1,Pickle,vegetable,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.21,0
GCF_003950295.1_ASM395029v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Loigolactobacillus,Loigolactobacillus iwatensis,NCBI,RefSeq,GCF_003950295.1,Orchardgrass (Dactylis glomerata L.) silage,NA,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.46,1.09
GCF_003967595.1_ASM396759v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus musae,NCBI,RefSeq,GCF_003967595.1,Banana fruits,fruit,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.48,1.05
GCF_003987495.1_ASM398749v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Vagococcus,Vagococcus salmoninarum,NCBI,RefSeq,GCF_003987495.1,diseased adult rainbow trout in Oak Spring Hatchery,NA,United States of America,"OR, United States of America",prokaryote,MiFoDB_beta_v3_prok,99.03,0.55
GCF_003994255.1_ASM399425v1_genomic,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Dermabacteraceae,Brachybacterium,Brachybacterium paraconglomeratum,NCBI,RefSeq,GCF_003994255.1,Type strain of Brachybacterium paraconglomeratum,NA,China,China,prokaryote,MiFoDB_beta_v3_prok,99.42,0
GCF_003999355.1_ASM399935v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus amylolyticus,NCBI,RefSeq,GCF_003999355.1,Naturally fermented tofu whey,legumes,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.03,0.97
GCF_004006375.1_ASM400637v1_genomic,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Komagataeibacter,Komagataeibacter xylinus,NCBI,RefSeq,GCF_004006375.1,NA,NA,NA,NA,prokaryote,MiFoDB_beta_v3_prok,100,0
GCF_004009905.1_ASM400990v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus xujianguonis,NCBI,RefSeq,GCF_004009905.1,Himalayan marmot,NA,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.68,0
GCF_004010095.1_ASM401009v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus hulanensis,NCBI,RefSeq,GCF_004010095.1,pickle,vegetable,NA,NA,prokaryote,MiFoDB_beta_v3_prok,96.34,1.57
GCF_004014775.2_ASM401477v2_genomic,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,Acetobacter oryzoeni,NCBI,RefSeq,GCF_004014775.2,vinegar,fruit,South Korea,South Korea,prokaryote,MiFoDB_beta_v3_prok,100,0
GCF_004025845.1_ASM402584v1_genomic,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Intrasporangiaceae,Janibacter,Janibacter hoylei,NCBI,RefSeq,GCF_004025845.1,Jet Propulsion Laboratory,NA,India,India,prokaryote,MiFoDB_beta_v3_prok,99.82,0
GCF_004102045.2_ASM410204v2_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Oenococcus,Oenococcus sicerae,NCBI,RefSeq,GCF_004102045.2,Apple juice in fermentation (cider),fruit,NA,NA,prokaryote,MiFoDB_beta_v3_prok,98.4,0
GCF_004115745.1_ASM411574v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus suantsaii,NCBI,RefSeq,GCF_004115745.1,"suan-tsai, a traditional Taiwanese fermented mustard green",NA,NA,NA,prokaryote,MiFoDB_beta_v3_prok,98.75,1.25
GCF_004136575.1_ASM413657v1_genomic,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Rothia,Rothia koreensis,NCBI,RefSeq,GCF_004136575.1,jeotgal,seafood,South Korea,South Korea,prokaryote,MiFoDB_beta_v3_prok,99.67,0
GCF_004168465.1_ASM416846v1_genomic,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Siccibacter,Siccibacter turicensis,NCBI,RefSeq,GCF_004168465.1,kangaroo gut microbiome,NA,Australia,Australia,prokaryote,MiFoDB_beta_v3_prok,99.37,0.38
GCF_004216755.1_ASM421675v1_genomic,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Kerstersia,Kerstersia gyiorum,NCBI,RefSeq,GCF_004216755.1,type strain of Kerstersia gyiorum,NA,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.53,0
GCF_004217095.1_ASM421709v1_genomic,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Advenella,Advenella incenata,NCBI,RefSeq,GCF_004217095.1,type strain of Advenella incenata,NA,NA,NA,prokaryote,MiFoDB_beta_v3_prok,100,0.95
GCF_004310285.1_ASM431028v1_genomic,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Agrobacterium,Agrobacterium cavarae,NCBI,RefSeq,GCF_004310285.1,corn,grains,Spain,"Leon, Spain",prokaryote,MiFoDB_beta_v3_prok,98.87,0.3
GCF_004331265.1_ASM433126v1_genomic,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter wuhouensis,NCBI,RefSeq,GCF_004331265.1,homo sapiens,NA,China,China,prokaryote,MiFoDB_beta_v3_prok,99.59,0.04
GCF_004331385.1_ASM433138v1_genomic,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter quasihormaechei,NCBI,RefSeq,GCF_004331385.1,homo sapiens,NA,China,China,prokaryote,MiFoDB_beta_v3_prok,99.97,0.25
GCF_004346035.1_ASM434603v1_genomic,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acidomonas,Acidomonas methanolica,NCBI,RefSeq,GCF_004346035.1,NA,NA,NA,NA,prokaryote,MiFoDB_beta_v3_prok,100,0.5
GCF_004348195.1_ASM434819v1_genomic,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Komagataeibacter,Komagataeibacter saccharivorans,NCBI,RefSeq,GCF_004348195.1,fruit fly,NA,Belgium,Germany,prokaryote,MiFoDB_beta_v3_prok,100,0
GCF_004354595.1_ASM435459v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Secundilactobacillus,Secundilactobacillus silagei,NCBI,RefSeq,GCF_004354595.1,Silage,NA,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.38,0.78
GCF_004354645.1_ASM435464v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc_B,Leuconostoc_B fallax,NCBI,RefSeq,GCF_004354645.1,Type material of Leuconostoc fallax,NA,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.3,0.52
GCF_004358325.1_ASM435832v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Weissella_A,Weissella_A cryptocerci,NCBI,RefSeq,GCF_004358325.1,Culture,NA,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.73,0.14
GCF_004359375.1_ASM435937v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Acetilactobacillus,Acetilactobacillus jinshanensis,NCBI,RefSeq,GCF_004359375.1,Type material of Acetilactobacillus jinshanensis,NA,NA,NA,prokaryote,MiFoDB_beta_v3_prok,93.83,3.28
GCF_004551575.1_ASM455157v1_genomic,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas indicatrix,NCBI,RefSeq,GCF_004551575.1,water plant,NA,Germany,Germany,prokaryote,MiFoDB_beta_v3_prok,100,0.11
GCF_004563945.1_ASM456394v1_genomic,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Kocuria,Kocuria rhizophila,NCBI,RefSeq,GCF_004563945.1,root nodule,NA,United States of America,"NH, United States of America",prokaryote,MiFoDB_beta_v3_prok,98.68,0
GCF_004684345.1_ASM468434v1_genomic,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter tructae,NCBI,RefSeq,GCF_004684345.1,rainbow trout,seafood,South Korea,South Korea,prokaryote,MiFoDB_beta_v3_prok,99.9,0.16
GCF_004745505.1_ASM474550v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus suantsaiihabitans,NCBI,RefSeq,GCF_004745505.1,"suan tsai, fermented vegetables",vegetable,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.38,0.62
GCF_004745525.1_ASM474552v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus suantsaicola,NCBI,RefSeq,GCF_004745525.1,"suan tsai, fermented vegetables",vegetable,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.48,0.52
GCF_004771075.1_ASM477107v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,Weissella confusa,NCBI,RefSeq,GCF_004771075.1,Cabbage,vegetable,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.08,0
GCF_004792415.1_ASM479241v1_genomic,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,Pantoea vagans,NCBI,RefSeq,GCF_004792415.1,eucalyptus,NA,China,Uganda,prokaryote,MiFoDB_beta_v3_prok,100,0.16
GCF_005404815.1_ASM540481v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus huachuanensis,NCBI,RefSeq,GCF_005404815.1,Pickle,vegetable,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.48,1.05
GCF_005404945.1_ASM540494v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus pingfangensis,NCBI,RefSeq,GCF_005404945.1,Pickle,vegetable,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.38,1.23
GCF_005405005.1_ASM540500v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus daoliensis,NCBI,RefSeq,GCF_005405005.1,Pickle,vegetable,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.38,1.23
GCF_005405065.1_ASM540506v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus nangangensis,NCBI,RefSeq,GCF_005405065.1,Pickle,vegetable,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.07,1.23
GCF_005405085.1_ASM540508v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus daowaiensis,NCBI,RefSeq,GCF_005405085.1,Pickle,vegetable,NA,NA,prokaryote,MiFoDB_beta_v3_prok,85.19,0.82
GCF_005405105.1_ASM540510v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus dongliensis,NCBI,RefSeq,GCF_005405105.1,Pickle,vegetable,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.02,2.62
GCF_005405125.1_ASM540512v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus songbeiensis,NCBI,RefSeq,GCF_005405125.1,Pickle,vegetable,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.02,2.62
GCF_005405145.1_ASM540514v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Paucilactobacillus,Paucilactobacillus kaifaensis,NCBI,RefSeq,GCF_005405145.1,Pickle,vegetable,NA,NA,prokaryote,MiFoDB_beta_v3_prok,66.85,0
GCF_005405165.1_ASM540516v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Loigolactobacillus,Loigolactobacillus binensis,NCBI,RefSeq,GCF_005405165.1,Pickle,vegetable,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.46,1.9
GCF_005405385.1_ASM540538v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus mudanjiangensis,NCBI,RefSeq,GCF_005405385.1,Pickle,vegetable,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.07,1.34
GCF_005405405.1_ASM540540v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus plajomi,NCBI,RefSeq,GCF_005405405.1,Fermented fish,seafood,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.02,0.62
GCF_005405425.1_ASM540542v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus modestisalitolerans,NCBI,RefSeq,GCF_005405425.1,Fermented fish,seafood,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.02,2.06
GCF_005405505.1_ASM540550v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,Weissella bombi,NCBI,RefSeq,GCF_005405505.1,Bumblebee gut,NA,NA,NA,prokaryote,MiFoDB_beta_v3_prok,98.47,0.61
GCF_005864225.1_ASM586422v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lentilactobacillus,Lentilactobacillus parafarraginis,NCBI,RefSeq,GCF_005864225.1,"Sugar refinery, Switzerland",sugar,Switzerland,Switzerland,prokaryote,MiFoDB_beta_v3_prok,98.78,0.62
GCF_005886075.1_ASM588607v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus paragasseri,NCBI,RefSeq,GCF_005886075.1,Human,NA,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.22,0
GCF_006007945.1_ASM600794v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus futsaii,NCBI,RefSeq,GCF_006007945.1,"Fu-tsai, a traditional fermented mustard product",vegetable,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.48,0.79
GCF_006385785.1_ASM638578v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus shenyangsis,NCBI,RefSeq,GCF_006385785.1,oropharynx,NA,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.47,0.2
GCF_006493595.1_ASM649359v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus micheneri,NCBI,RefSeq,GCF_006493595.1,Pollen provision,NA,NA,NA,prokaryote,MiFoDB_beta_v3_prok,98.65,0
GCF_006538185.1_ASM653818v1_genomic,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Komagataeibacter,Komagataeibacter diospyri,NCBI,RefSeq,GCF_006538185.1,NA,NA,Japan,Japan,prokaryote,MiFoDB_beta_v3_prok,99.5,0
